length,no_policy,seq,parallel,unseq,par_unseq,best_K,best_time,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32
1000,0.0003626,0.0003563,0.0006186,0.0003307,0.000433,2,0.002242,0.0027132,0.002242,0.0028111,0.0030321,0.003703,0.0041093,0.0046526,0.0051674,0.0057239,0.0065002,0.0072463,0.0076418,0.0087465,0.0098121,0.0108804,0.0115562,0.0122974,0.0129949,0.0135375,0.0134683,0.0134587,0.013944,0.0145029,0.0150666,0.0149755,0.0165394,0.0177219,0.0190341,0.0198671,0.0208296,0.0231043,0.0232781
10000,0.0044681,0.0044696,0.0019019,0.004128,0.0015133,4,0.0046765,0.0074699,0.0058616,0.0048407,0.0046765,0.0048101,0.0052453,0.0058072,0.006507,0.0069612,0.0077579,0.0079311,0.0090292,0.0098729,0.010826,0.0119821,0.0124337,0.0133723,0.0141036,0.0144994,0.0155383,0.0156866,0.0143734,0.0144719,0.0145822,0.016215,0.0167321,0.0184723,0.0206104,0.0238026,0.0217899,0.0216475,0.0235405
100000,0.0363635,0.0304548,0.0049853,0.0308194,0.0048408,7,0.0123247,0.0392195,0.0245667,0.0184609,0.0171415,0.0153964,0.013934,0.0123247,0.0146796,0.0132061,0.0125637,0.0129271,0.0142208,0.0143652,0.0141015,0.0143751,0.0143754,0.01447,0.015706,0.0163427,0.0163796,0.0170372,0.0181874,0.0186584,0.0190388,0.0196451,0.0203552,0.0213291,0.023021,0.0233385,0.0231957,0.0231931,0.0235731
1000000,0.3311609,0.3095964,0.0425103,0.3405505,0.0459194,15,0.0726444,0.3679983,0.195517,0.137392,0.118239,0.1003882,0.086619,0.0796919,0.09076,0.0861291,0.081044,0.0823231,0.0812455,0.0759813,0.0737658,0.0726444,0.0726752,0.0751659,0.0738534,0.0790258,0.0782511,0.079405,0.0790974,0.0787366,0.0779053,0.0769369,0.0767798,0.0760508,0.075081,0.0765993,0.0766109,0.0764919,0.0787901
1000,0.0004793,0.0004643,0.0005781,0.0004623,0.0005374,1,0.0025974,0.0025974,0.0026118,0.0032987,0.0038972,0.0042543,0.0050799,0.0056037,0.0061173,0.0071522,0.0076559,0.0077986,0.0080474,0.0082429,0.0087041,0.0094893,0.0101003,0.010956,0.0119649,0.0141028,0.0143751,0.0146025,0.0147458,0.0143278,0.014982,0.0148887,0.0153841,0.0162049,0.0168841,0.019344,0.0225694,0.0238212,0.0224264
10000,0.0045692,0.0045092,0.0016858,0.0045107,0.0014775,4,0.0046736,0.0072348,0.0056183,0.0051678,0.0046736,0.0047329,0.005216,0.0058045,0.0061686,0.006963,0.0076922,0.0085037,0.0091216,0.009898,0.0111909,0.0118488,0.0125959,0.013433,0.0141976,0.014606,0.0150985,0.016137,0.0160722,0.0150217,0.0136453,0.0144652,0.0157402,0.0168925,0.0179134,0.0190365,0.0187822,0.0191299,0.0198975
100000,0.0369654,0.0339501,0.0055302,0.0393364,0.0055862,7,0.0105049,0.0456514,0.0259925,0.0197341,0.0165531,0.0129298,0.0116298,0.0105049,0.013367,0.0135511,0.0133813,0.0135428,0.0136051,0.0141757,0.0153706,0.0154328,0.0152779,0.0159652,0.0161249,0.0158821,0.0167052,0.0176051,0.0189553,0.0194752,0.020069,0.0207622,0.0200555,0.0205991,0.0201574,0.0204551,0.0210386,0.0215761,0.0254303
1000000,0.3675899,0.3564551,0.0478025,0.4019882,0.04771,15,0.0732195,0.3813511,0.1931689,0.1410488,0.112451,0.1005046,0.0878917,0.0803979,0.0992154,0.0859872,0.0841613,0.0806552,0.0848281,0.0815207,0.075593,0.0732195,0.0760036,0.0768872,0.0753724,0.0772962,0.0786334,0.0822476,0.0792408,0.079667,0.077316,0.0777874,0.0771562,0.0775034,0.0773286,0.0779708,0.0774012,0.0792216,0.0807972
1000,0.0004993,0.0004792,0.000665,0.0004745,0.0005357,2,0.0023082,0.0026066,0.0023082,0.0032108,0.0036627,0.0040522,0.0044746,0.0051636,0.0054337,0.0057642,0.0063512,0.0067981,0.0074686,0.0079172,0.0085364,0.0092945,0.0099856,0.0107683,0.0115675,0.0122748,0.0130555,0.0140399,0.0142479,0.0144562,0.0151149,0.0155288,0.0156869,0.0163669,0.0169511,0.0178626,0.0181655,0.0188701,0.0190809
10000,0.0039542,0.0037774,0.0016116,0.0036412,0.0015724,4,0.0036459,0.0061166,0.0046502,0.0037352,0.0036459,0.0039015,0.0042069,0.004758,0.0051874,0.0058589,0.0063501,0.0082583,0.0087027,0.009625,0.0105185,0.0115408,0.0121095,0.0125907,0.0123463,0.0129996,0.0135094,0.0144218,0.0146765,0.0150885,0.0159128,0.0167217,0.017298,0.0179292,0.0188292,0.0190858,0.0210682,0.0219506,0.0214949
