length,no_policy,seq,parallel,unseq,par_unseq,best_K,best_time,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32
1000,4.9e-06,1.2e-06,6.06e-05,1.1e-06,1.6e-05,1,0.0021327,0.0021327,0.0023166,0.0024358,0.0027323,0.0029518,0.0034083,0.0039283,0.0044931,0.0051217,0.0054394,0.0059642,0.00641,0.0068581,0.0074067,0.007749,0.0082665,0.0088307,0.0094979,0.0097869,0.0103861,0.0105388,0.0116722,0.0125809,0.0134708,0.0142319,0.0147129,0.0153252,0.0156162,0.0165928,0.0176397,0.0180967,0.0189253
10000,1.9e-06,8e-07,1.85e-05,1e-06,2.09e-05,1,0.0011336,0.0011336,0.0018239,0.0028583,0.0029198,0.0036307,0.0041306,0.0045298,0.0051319,0.0071974,0.0063016,0.0066044,0.0069836,0.0076419,0.008745,0.0089725,0.0092642,0.0099878,0.0106411,0.0107047,0.0117847,0.0117482,0.0123168,0.012805,0.0134047,0.0141268,0.0145748,0.01495,0.015768,0.0162741,0.0176248,0.0176143,0.0190179
100000,7e-07,4e-07,1.83e-05,4e-07,1.35e-05,1,0.0011422,0.0011422,0.0017713,0.0024699,0.0029169,0.0034389,0.0042976,0.0046316,0.0051831,0.0057289,0.0061628,0.0068895,0.0075891,0.0079235,0.0084657,0.0091313,0.0097827,0.0101292,0.0105978,0.0104616,0.0115282,0.0131947,0.0140352,0.0134675,0.0134246,0.0134662,0.0142808,0.0154149,0.0160078,0.0178584,0.0177738,0.0176349,0.0176254
1000000,3.2e-06,9e-07,2.54e-05,1e-06,1.89e-05,1,0.0018692,0.0018692,0.0023567,0.0029931,0.0033805,0.0041123,0.0043818,0.004819,0.0049676,0.0054363,0.0058251,0.0063537,0.0067377,0.0071139,0.0077245,0.0081977,0.008868,0.0102008,0.0104513,0.011856,0.0115636,0.0121524,0.0125416,0.0130786,0.0134316,0.0142218,0.0143275,0.0150225,0.0153907,0.0159622,0.016654,0.0181338,0.0208565
1000,5.7e-06,9e-07,7.23e-05,9e-07,1.93e-05,2,0.0018698,0.0020146,0.0018698,0.0026049,0.0031611,0.0041608,0.0046149,0.005061,0.0055533,0.0057691,0.0060101,0.0064253,0.0070313,0.0077552,0.0079145,0.0089052,0.0093849,0.0097896,0.0106227,0.0110314,0.0114011,0.0119086,0.0121574,0.0127575,0.0136446,0.0139302,0.0146573,0.0150713,0.0156376,0.0159256,0.016185,0.0168664,0.0175185
10000,1.3e-06,9e-07,1.81e-05,9e-07,1.9e-05,1,0.001083,0.001083,0.0016859,0.0022809,0.0028919,0.0033571,0.0040063,0.0044051,0.0049087,0.0055507,0.005915,0.0062475,0.0069591,0.0074747,0.0084523,0.0085658,0.0092501,0.0097553,0.0103269,0.0108393,0.0114133,0.0119408,0.0123383,0.012933,0.013829,0.0142314,0.0142175,0.0145586,0.0150715,0.0156904,0.0167397,0.0169675,0.017633
100000,1.3e-06,9e-07,1.87e-05,9e-07,2.09e-05,1,0.0010901,0.0010901,0.0016496,0.0022281,0.0026429,0.0032645,0.003829,0.0043057,0.0047605,0.0051035,0.0056024,0.0061225,0.0067505,0.0072109,0.0078352,0.0083351,0.0089349,0.0097438,0.0101006,0.0110046,0.0111378,0.0119945,0.0122448,0.0130982,0.0134497,0.0138046,0.0142406,0.0149324,0.0153468,0.0157911,0.0164486,0.0177291,0.0175327
1000000,2.5e-06,8e-07,2.27e-05,8e-07,1.22e-05,2,0.0018629,0.0022312,0.0018629,0.0023743,0.0026252,0.0031688,0.003661,0.0040899,0.0046217,0.0050403,0.0055041,0.0061769,0.0067762,0.0079129,0.0082074,0.0088138,0.0096897,0.0099913,0.0107861,0.0115614,0.0116708,0.0120288,0.0122934,0.0126975,0.0132517,0.013556,0.0149552,0.0150203,0.0154271,0.0163768,0.0161839,0.0168506,0.0177216
1000,5.5e-06,8e-07,7.16e-05,8e-07,1.84e-05,1,0.0019584,0.0019584,0.0019986,0.0024588,0.003144,0.0034739,0.0038751,0.0043538,0.0050088,0.0056752,0.0062907,0.0066373,0.0085587,0.0079027,0.008501,0.0091927,0.0096348,0.0103207,0.0108943,0.0114357,0.0118238,0.0125559,0.0126202,0.0131058,0.0137624,0.0142245,0.0145338,0.0151543,0.0155019,0.0268272,0.0398782,0.027811,0.0225562
10000,2e-06,1.3e-06,2.48e-05,1.3e-06,1.98e-05,1,0.0035047,0.0035047,0.0041353,0.0052449,0.0060794,0.0069715,0.0084416,0.0066218,0.0061337,0.0071142,0.0074026,0.0077888,0.0081477,0.0080406,0.0080868,0.0088408,0.010214,0.0111854,0.0117039,0.0112024,0.011711,0.0123929,0.0127722,0.0131622,0.0138675,0.0140306,0.0144869,0.0152521,0.0156423,0.0166795,0.0173415,0.0180658,0.0181697
